2019-11-17 11:40:00.666972, [INFO] New scenario manager or reset. Reading in all scenarios from storage!
2019-11-17 11:40:00.778688, [INFO] Registering agent factory for CONTROLLER
2019-11-17 11:40:00.782257, [INFO] Registering agent factory for CAR
2019-11-17 11:40:00.786965, [INFO] Setting starttime to 0, stoptime to 2000 and step to 1.0
2019-11-17 11:40:00.790092, [INFO] Creating 1 agents of type CONTROLLER
2019-11-17 11:40:03.390316, [INFO] Creating 3 agents of type CAR
2019-11-17 11:40:03.393444, [INFO] Successfully instantiated the simulation model for scenario scenario
2019-11-17 11:40:03.395483, [INFO] JSON Monitor: Starting to Monitor scenarios/abm.json for changes. Will update scenarios whenever I observe changes to it! 
2019-11-17 11:40:03.398476, [INFO] Successfully loaded all scenarios!
2019-11-17 11:40:06.596928, [INFO] Round #0 Step #1.0, collect_data=True
2019-11-17 11:40:07.717391, [INFO] Round #1 Step #1.0, collect_data=True
2019-11-17 11:40:07.889127, [INFO] Round #2 Step #1.0, collect_data=True
2019-11-17 11:40:07.969191, [INFO] Round #3 Step #1.0, collect_data=True
2019-11-17 11:40:08.082438, [INFO] Round #4 Step #1.0, collect_data=True
2019-11-17 11:40:08.143205, [INFO] Round #5 Step #1.0, collect_data=True
2019-11-17 11:40:08.194054, [INFO] Round #6 Step #1.0, collect_data=True
2019-11-17 11:40:08.265451, [INFO] Round #7 Step #1.0, collect_data=True
2019-11-17 11:40:08.314954, [INFO] Round #8 Step #1.0, collect_data=True
2019-11-17 11:40:08.384357, [INFO] Round #9 Step #1.0, collect_data=True
2019-11-17 11:40:08.438620, [INFO] Round #10 Step #1.0, collect_data=True
2019-11-17 11:40:08.502418, [INFO] Round #11 Step #1.0, collect_data=True
2019-11-17 11:40:08.557233, [INFO] Round #12 Step #1.0, collect_data=True
2019-11-17 11:40:08.607875, [INFO] Round #13 Step #1.0, collect_data=True
2019-11-17 11:40:08.666569, [INFO] Round #14 Step #1.0, collect_data=True
2019-11-17 11:40:08.721029, [INFO] Round #15 Step #1.0, collect_data=True
2019-11-17 11:40:08.774822, [INFO] Round #16 Step #1.0, collect_data=True
2019-11-17 11:40:08.832125, [INFO] Round #17 Step #1.0, collect_data=True
2019-11-17 11:40:08.888463, [INFO] Round #18 Step #1.0, collect_data=True
2019-11-17 11:40:08.944412, [INFO] Round #19 Step #1.0, collect_data=True
2019-11-17 11:40:08.991074, [INFO] Round #20 Step #1.0, collect_data=True
2019-11-17 11:40:09.044396, [INFO] Round #21 Step #1.0, collect_data=True
2019-11-17 11:40:09.091270, [INFO] Round #22 Step #1.0, collect_data=True
2019-11-17 11:40:09.177699, [INFO] Round #23 Step #1.0, collect_data=True
2019-11-17 11:40:09.228695, [INFO] Round #24 Step #1.0, collect_data=True
2019-11-17 11:40:09.294467, [INFO] Round #25 Step #1.0, collect_data=True
2019-11-17 11:40:09.341449, [INFO] Round #26 Step #1.0, collect_data=True
2019-11-17 11:40:09.427940, [INFO] Round #27 Step #1.0, collect_data=True
